timestamp,rpm,temperature,humidity,current,vibration,status,data_source
2026-08-20T08:00:00,1535.0,36.1,58.8,0.76,0.074,0,synthetic
2026-08-20T08:01:00,1505.3,35.3,59.0,0.73,0.095,0,synthetic
2026-08-20T08:02:00,1481.7,35.0,59.4,0.7,0.099,0,synthetic
2026-08-20T08:03:00,1529.7,35.3,58.3,0.7,0.105,0,synthetic
2026-08-20T08:04:00,1501.5,34.4,59.4,0.74,0.11,0,synthetic
2026-08-20T08:05:00,1517.7,35.1,57.4,0.7,0.101,0,synthetic
2026-08-20T08:06:00,1521.5,35.0,60.3,0.79,0.084,0,synthetic
2026-08-20T08:07:00,1514.4,35.5,59.0,0.71,0.129,0,synthetic
2026-08-20T08:08:00,1487.9,35.5,60.0,0.77,0.14,0,synthetic
2026-08-20T08:09:00,1517.2,34.5,55.4,0.71,0.099,0,synthetic
2026-08-20T08:10:00,1499.7,35.9,59.7,0.7,0.09,0,synthetic
2026-08-20T08:11:00,1516.3,35.4,61.9,0.71,0.094,0,synthetic
2026-08-20T08:12:00,1511.4,35.0,55.1,0.75,0.093,0,synthetic
2026-08-20T08:13:00,1483.5,35.6,59.7,0.81,0.125,0,synthetic
2026-08-20T08:14:00,1509.6,35.9,62.4,0.74,0.111,0,synthetic
2026-08-20T08:15:00,1506.6,35.8,56.9,0.72,0.056,0,synthetic
2026-08-20T08:16:00,1503.5,35.2,64.1,0.81,0.107,0,synthetic
2026-08-20T08:17:00,1509.7,35.9,59.9,0.73,0.112,0,synthetic
2026-08-20T08:18:00,1509.5,35.2,58.3,0.69,0.111,0,synthetic
2026-08-20T08:19:00,1494.1,35.6,59.9,0.75,0.118,0,synthetic
2026-08-20T08:20:00,1485.8,34.9,63.1,0.68,0.096,0,synthetic
2026-08-20T08:21:00,1508.7,35.4,61.8,0.68,0.089,0,synthetic
2026-08-20T08:22:00,1468.3,34.7,60.4,0.66,0.137,0,synthetic
2026-08-20T08:23:00,1510.7,34.6,58.9,0.64,0.1,0,synthetic
2026-08-20T08:24:00,1479.7,35.9,59.6,0.72,0.081,0,synthetic
2026-08-20T08:25:00,1491.8,36.2,57.0,0.69,0.113,0,synthetic
2026-08-20T08:26:00,1500.8,35.2,61.9,0.68,0.094,0,synthetic
2026-08-20T08:27:00,1477.8,36.1,59.6,0.76,0.12,0,synthetic
2026-08-20T08:28:00,1507.4,36.0,59.4,0.73,0.099,0,synthetic
2026-08-20T08:29:00,1487.5,34.7,62.4,0.68,0.096,0,synthetic
